id,entry_date,platform,chart,track_title,artist,rank,did,drive_link,sort_order,created_at
68,2026-01-06,Apple,Apple Playlist | Vietnam Ơi,Nụ cười của một người lạ,TRANG,106,,,,2026-08-14T03:58:14.699229+00:00
70,2026-01-06,Apple,Apple Playlist | Vietnam Ơi,Đậu Thần,Dreamwork,157,,,,2026-08-14T03:58:14.699229+00:00
69,2026-01-06,Apple,Apple Playlist | Vietnam Ơi,ĐẶT TRÁI TIM LÊN BÀN,Tùng,148,,,,2026-08-14T03:58:14.699229+00:00
53,2026-01-06,Zing,BXH NHẠC MỚI,50 Năm Về Sau,"F47, Mechill, Đặng Thanh Tuyền",47,,,,2026-08-14T03:58:14.699229+00:00
54,2026-01-06,Zing,BXH NHẠC MỚI,Anh Này Là Của Tui,"Pinky Vanh, Hoa Vũ",50,,,,2026-08-14T03:58:14.699229+00:00
55,2026-01-06,Zing,BXH NHẠC MỚI,Chồng Tương Lai (TD Remix),"Út Nhị Mino, Hào JK",59,,,,2026-08-14T03:58:14.699229+00:00
56,2026-01-06,Zing,BXH NHẠC MỚI,Cơn Mưa Mùa Đông,"Đan Trường, Cẩm Ly",60,,,,2026-08-14T03:58:14.699229+00:00
58,2026-01-06,Zing,BXH NHẠC MỚI,Thiệp Hồng Sai Tên,Hương Ly,83,,,,2026-08-14T03:58:14.699229+00:00
57,2026-01-06,Zing,BXH NHẠC MỚI,Thương Cũng Lâu Rồi,"Phát Hổ, Tiêu Minh Phụng",68,,,,2026-08-14T03:58:14.699229+00:00
52,2026-01-06,Zing,BXH NHẠC MỚI,"Ôm Mẹ (Original Soundtrack From ""Thiên Đường Máu"")",Hoài Lâm,20,,,,2026-08-14T03:58:14.699229+00:00
51,2026-01-06,Zing,BXH NHẠC MỚI,Ảnh Lấy Dợ Gòi,Tracy Thảo My,14,,,,2026-08-14T03:58:14.699229+00:00
61,2026-01-06,Spotify,DAILY VIRAL SONGs,Thiệp Hồng Sai Tên,Ca Sĩ Giấu Mặt,21,,,,2026-08-14T03:58:14.699229+00:00
65,2026-01-06,Spotify,Spotify Playlist | Fresh Find Vietnam,Hoàng Hôn Có Em,Vết Xước,66,,,,2026-08-14T03:58:14.699229+00:00
64,2026-01-06,Spotify,Spotify Playlist | Fresh Find Vietnam,Nỗi Nhớ,VINHTRAN,30,,,,2026-08-14T03:58:14.699229+00:00
62,2026-01-06,Spotify,Spotify Playlist | Fresh Find Vietnam,Thương Người Có Người Thương,Po Bae,11,,,,2026-08-14T03:58:14.699229+00:00
63,2026-01-06,Spotify,Spotify Playlist | Fresh Find Vietnam,Ông Già Tuyết,Jackie Njine,24,,,,2026-08-14T03:58:14.699229+00:00
66,2026-01-06,Spotify,Spotify Playlist | Fresh Find Vietnam,Đậu Thần,Dreamwork,70,,,,2026-08-14T03:58:14.699229+00:00
71,2026-01-06,Tiktok,TIKTOK BREAKOUT,Ta Thương Một Người - Ca Ca Cover,Ca Ca & Nguyen Van Chung,4,,,,2026-08-14T03:58:14.699229+00:00
72,2026-01-06,Tiktok,TIKTOK HOT,Thiệp Hồng Sai Tên (Remix) [Version 2],"Nguyễn Thành Đạt, BMT Music",15,,,,2026-08-14T03:58:14.699229+00:00
73,2026-01-06,Tiktok,TIKTOK HOT,Đi Về Quê - Remix,Út Nhị Mino,21,,,,2026-08-14T03:58:14.699229+00:00
60,2026-01-06,Spotify,WEEKLY TOP ALBUM Tuần,Chỉ Có Thể Là Anh,TRANG,190,,,,2026-08-14T03:58:14.699229+00:00
59,2026-01-06,Spotify,WEEKLY TOP ALBUM Tuần,Để Leo Một Ngọn Núi,Tùng,70,,,,2026-08-14T03:58:14.699229+00:00
44,2026-01-06,Zing,ZingCharts,50 Năm Về Sau,"F47, Mechill, Đặng Thanh Tuyền",42,,,,2026-08-14T03:58:14.699229+00:00
40,2026-01-06,Zing,ZingCharts,Anh Thua Anh Ta,Gia Huy Singer,8,,,,2026-08-14T03:58:14.699229+00:00
49,2026-01-06,Zing,ZingCharts,Anh Thua Người Ta Nhiều Lắm,"NB3 Hoài Bảo, CT",82,,,,2026-08-14T03:58:14.699229+00:00
48,2026-01-06,Zing,ZingCharts,Cưới Chính,"Nal, CT",72,,,,2026-08-14T03:58:14.699229+00:00
50,2026-01-06,Zing,ZingCharts,Em Nhắc Anh,"Nana Liu, HTM",92,,,,2026-08-14T03:58:14.699229+00:00
45,2026-01-06,Zing,ZingCharts,Muốn Cua Anh Làm Bồ,"Dương Ái Vy, HTM",43,,,,2026-08-14T03:58:14.699229+00:00
41,2026-01-06,Zing,ZingCharts,Nỗi Đau Giữa Hoà Bình,"Hoà Minzy, Nguyễn Văn Chung",29,,,,2026-08-14T03:58:14.699229+00:00
43,2026-01-06,Zing,ZingCharts,"Sợi Chỉ Hồng (Original Soundtrack From ""Cưới Vợ Cho Cha"")","Hana Cẩm Tiên, DanhKa",37,,,,2026-08-14T03:58:14.699229+00:00
39,2026-01-06,Zing,ZingCharts,Thiệp Hồng Sai Tên,Nguyễn Thành Đạt,1,,,,2026-08-14T03:58:14.699229+00:00
42,2026-01-06,Zing,ZingCharts,Thiệp Hồng Sai Tên (Remix) [Version 2],"Nguyễn Thành Đạt, BMT Music",31,,,,2026-08-14T03:58:14.699229+00:00
47,2026-01-06,Zing,ZingCharts,Túc Duyên (Lofi),"Đoàn Lâm, CT, H2O Lofi",52,,,,2026-08-14T03:58:14.699229+00:00
46,2026-01-06,Zing,ZingCharts,Ảnh Lấy Dợ Gòi,Tracy Thảo My,48,,,,2026-08-14T03:58:14.699229+00:00
106,2026-01-07,Apple,Apple Playlist | Vietnam Ơi,CHUỒN CHUỒN (bay thấp),Tùng,56,,,,2026-08-14T03:58:14.699229+00:00
107,2026-01-07,Apple,Apple Playlist | Vietnam Ơi,Nụ cười của một người lạ,TRANG,106,,,,2026-08-14T03:58:14.699229+00:00
109,2026-01-07,Apple,Apple Playlist | Vietnam Ơi,Đậu Thần,Dreamwork,157,,,,2026-08-14T03:58:14.699229+00:00
108,2026-01-07,Apple,Apple Playlist | Vietnam Ơi,ĐẶT TRÁI TIM LÊN BÀN,Tùng,148,,,,2026-08-14T03:58:14.699229+00:00
88,2026-01-07,Zing,BXH NHẠC MỚI,50 Năm Về Sau,"F47, Mechill, Đặng Thanh Tuyền",53,,,,2026-08-14T03:58:14.699229+00:00
92,2026-01-07,Zing,BXH NHẠC MỚI,Anh Này Là Của Tui,"Pinky Vanh, Hoa Vũ",72,,,,2026-08-14T03:58:14.699229+00:00
91,2026-01-07,Zing,BXH NHẠC MỚI,Chồng Tương Lai (TD Remix),"Út Nhị Mino, Hào JK",70,,,,2026-08-14T03:58:14.699229+00:00
90,2026-01-07,Zing,BXH NHẠC MỚI,Cơn Mưa Mùa Đông,"Đan Trường, Cẩm Ly",69,,,,2026-08-14T03:58:14.699229+00:00
89,2026-01-07,Zing,BXH NHẠC MỚI,Không Còn Chừng Mực,Hạo Thiên (Kim Thiên),66,,,,2026-08-14T03:58:14.699229+00:00
94,2026-01-07,Zing,BXH NHẠC MỚI,Mưa Chưa Thấm Em Đã Lầm,Hạo Thiên (Kim Thiên),86,,,,2026-08-14T03:58:14.699229+00:00
93,2026-01-07,Zing,BXH NHẠC MỚI,Thương Cũng Lâu Rồi,"Phát Hổ, Tiêu Minh Phụng",84,,,,2026-08-14T03:58:14.699229+00:00
95,2026-01-07,Zing,BXH NHẠC MỚI,Vết Đau Chẳng Lành (BMT Remix),Hoàng Oanh,95,,,,2026-08-14T03:58:14.699229+00:00
87,2026-01-07,Zing,BXH NHẠC MỚI,"Ôm Mẹ (Original Soundtrack From ""Thiên Đường Máu"")",Hoài Lâm,38,,,,2026-08-14T03:58:14.699229+00:00
86,2026-01-07,Zing,BXH NHẠC MỚI,Ảnh Lấy Dợ Gòi,Tracy Thảo My,29,,,,2026-08-14T03:58:14.699229+00:00
98,2026-01-07,Spotify,DAILY VIRAL SONGs,50 Năm Về Sau,"F47, Mechill, Đặng Thanh Tuyền",1,,,,2026-08-14T03:58:14.699229+00:00
100,2026-01-07,Spotify,DAILY VIRAL SONGs,50 Năm Về Sau,"Mechill, Đặng Thanh Tuyền",44,,,,2026-08-14T03:58:14.699229+00:00
99,2026-01-07,Spotify,DAILY VIRAL SONGs,Thiệp Hồng Sai Tên,Ca Sĩ Giấu Mặt,39,,,,2026-08-14T03:58:14.699229+00:00
104,2026-01-07,Spotify,Spotify Playlist | Fresh Find Vietnam,Hoàng Hôn Có Em,Vết Xước,66,,,,2026-08-14T03:58:14.699229+00:00
103,2026-01-07,Spotify,Spotify Playlist | Fresh Find Vietnam,Nỗi Nhớ,VINHTRAN,30,,,,2026-08-14T03:58:14.699229+00:00
101,2026-01-07,Spotify,Spotify Playlist | Fresh Find Vietnam,Thương Người Có Người Thương,Po Bae,11,,,,2026-08-14T03:58:14.699229+00:00
102,2026-01-07,Spotify,Spotify Playlist | Fresh Find Vietnam,Ông Già Tuyết,Jackie Njine,24,,,,2026-08-14T03:58:14.699229+00:00
105,2026-01-07,Spotify,Spotify Playlist | Fresh Find Vietnam,Đậu Thần,Dreamwork,70,,,,2026-08-14T03:58:14.699229+00:00
111,2026-01-07,Tiktok,TIKTOK HOT,Thiệp Hồng Sai Tên (Remix) [Version 2],"Nguyễn Thành Đạt, BMT Music",12,,,,2026-08-14T03:58:14.699229+00:00
112,2026-01-07,Tiktok,TIKTOK HOT,Đi Về Quê (Remix),"Út Nhị Mino, Hào JK",15,,,,2026-08-14T03:58:14.699229+00:00
113,2026-01-07,Tiktok,TIKTOK HOT,Ảnh Lấy Dợ Gòi,Tracy Thảo My,21,,,,2026-08-14T03:58:14.699229+00:00
110,2026-01-07,Tiktok,TIKTOK POPULAR,Phai Sắc Tím (Remix Vinahouse),H2O Vinahouse,50,,,,2026-08-14T03:58:14.699229+00:00
97,2026-01-07,Spotify,WEEKLY TOP ALBUM Tuần,Trong,TRANG,190,,,,2026-08-14T03:58:14.699229+00:00
96,2026-01-07,Spotify,WEEKLY TOP ALBUM Tuần,Để Leo Một Ngọn Núi,Tùng,70,,,,2026-08-14T03:58:14.699229+00:00
79,2026-01-07,Zing,ZingCharts,50 Năm Về Sau,"F47, Mechill, Đặng Thanh Tuyền",46,,,,2026-08-14T03:58:14.699229+00:00
75,2026-01-07,Zing,ZingCharts,Anh Thua Anh Ta,Gia Huy Singer,7,,,,2026-08-14T03:58:14.699229+00:00
84,2026-01-07,Zing,ZingCharts,Anh Thua Người Ta Nhiều Lắm,"NB3 Hoài Bảo, CT",83,,,,2026-08-14T03:58:14.699229+00:00
82,2026-01-07,Zing,ZingCharts,Cưới Chính,"Nal, CT",71,,,,2026-08-14T03:58:14.699229+00:00
85,2026-01-07,Zing,ZingCharts,Em Nhắc Anh,"Nana Liu, HTM",94,,,,2026-08-14T03:58:14.699229+00:00
83,2026-01-07,Zing,ZingCharts,Khúc Cua Cuộc Đời,Danh Tuấn Trung,81,,,,2026-08-14T03:58:14.699229+00:00
81,2026-01-07,Zing,ZingCharts,Muốn Cua Anh Làm Bồ,"Dương Ái Vy, HTM",50,,,,2026-08-14T03:58:14.699229+00:00
76,2026-01-07,Zing,ZingCharts,Nỗi Đau Giữa Hoà Bình,"Hoà Minzy, Nguyễn Văn Chung",27,,,,2026-08-14T03:58:14.699229+00:00
80,2026-01-07,Zing,ZingCharts,"Sợi Chỉ Hồng (Original Soundtrack From ""Cưới Vợ Cho Cha"")","Hana Cẩm Tiên, DanhKa",48,,,,2026-08-14T03:58:14.699229+00:00
74,2026-01-07,Zing,ZingCharts,Thiệp Hồng Sai Tên,Nguyễn Thành Đạt,1,,,,2026-08-14T03:58:14.699229+00:00
77,2026-01-07,Zing,ZingCharts,Thiệp Hồng Sai Tên (Remix) [Version 2],"Nguyễn Thành Đạt, BMT Music",29,,,,2026-08-14T03:58:14.699229+00:00
78,2026-01-07,Zing,ZingCharts,Ảnh Lấy Dợ Gòi,Tracy Thảo My,40,,,,2026-08-14T03:58:14.699229+00:00
147,2026-01-08,Apple,Apple Playlist | Vietnam Ơi,CHUỒN CHUỒN (bay thấp),Tùng,56,,,,2026-08-14T03:58:14.699229+00:00
148,2026-01-08,Apple,Apple Playlist | Vietnam Ơi,Nụ cười của một người lạ,TRANG,106,,,,2026-08-14T03:58:14.699229+00:00
150,2026-01-08,Apple,Apple Playlist | Vietnam Ơi,Đậu Thần,Dreamwork,157,,,,2026-08-14T03:58:14.699229+00:00
149,2026-01-08,Apple,Apple Playlist | Vietnam Ơi,ĐẶT TRÁI TIM LÊN BÀN,Tùng,148,,,,2026-08-14T03:58:14.699229+00:00
131,2026-01-08,Zing,BXH NHẠC MỚI,50 Năm Về Sau,"F47, Mechill, Đặng Thanh Tuyền",60,,,,2026-08-14T03:58:14.699229+00:00
134,2026-01-08,Zing,BXH NHẠC MỚI,Anh Này Là Của Tui,"Pinky Vanh, Hoa Vũ",82,,,,2026-08-14T03:58:14.699229+00:00
136,2026-01-08,Zing,BXH NHẠC MỚI,Cơn Mưa Mùa Đông,"Đan Trường, Cẩm Ly",92,,,,2026-08-14T03:58:14.699229+00:00
133,2026-01-08,Zing,BXH NHẠC MỚI,Hoa Màu Dĩ Vãng,"H.O.A, Hạo Thiên (Kim Thiên)",71,,,,2026-08-14T03:58:14.699229+00:00
126,2026-01-08,Zing,BXH NHẠC MỚI,Không Còn Chừng Mực,Hạo Thiên (Kim Thiên),23,,,,2026-08-14T03:58:14.699229+00:00
130,2026-01-08,Zing,BXH NHẠC MỚI,Mưa Chưa Thấm Em Đã Lầm,"H.O.A, Hạo Thiên (Kim Thiên)",38,,,,2026-08-14T03:58:14.699229+00:00
135,2026-01-08,Zing,BXH NHẠC MỚI,Thương Cũng Lâu Rồi,"Phát Hồ, Tiều Minh Phụng",85,,,,2026-08-14T03:58:14.699229+00:00
132,2026-01-08,Zing,BXH NHẠC MỚI,Vết Đau Chẳng Lành,Hoàng Oanh,63,,,,2026-08-14T03:58:14.699229+00:00
128,2026-01-08,Zing,BXH NHẠC MỚI,Vết Đau Chẳng Lành (BMT Remix),Hoàng Oanh,34,,,,2026-08-14T03:58:14.699229+00:00
129,2026-01-08,Zing,BXH NHẠC MỚI,"Ôm Mẹ (Original Soundtrack From ""Thiên Đường Máu"")",Hoài Lâm,36,,,,2026-08-14T03:58:14.699229+00:00
127,2026-01-08,Zing,BXH NHẠC MỚI,Ảnh Lấy Dợ Gòi,Tracy Thảo My,32,,,,2026-08-14T03:58:14.699229+00:00
139,2026-01-08,Spotify,DAILY VIRAL SONGs,50 Năm Về Sau,"F47, Mechill, Đặng Thanh Tuyền",1,,,,2026-08-14T03:58:14.699229+00:00
141,2026-01-08,Spotify,DAILY VIRAL SONGs,50 Năm Về Sau,"Mechill, Đặng Thanh Tuyền",46,,,,2026-08-14T03:58:14.699229+00:00
140,2026-01-08,Spotify,DAILY VIRAL SONGs,Thiệp Hồng Sai Tên,Ca Sĩ Giấu Mặt,38,,,,2026-08-14T03:58:14.699229+00:00
155,2026-01-08,Facebook/Ins,FB TRENDING,Kìa Tết Đang Sang,Như Bee ft HTM,35,,,,2026-08-14T03:58:14.699229+00:00
156,2026-01-08,Facebook/Ins,FB TRENDING,Đi Về Quê (Remix),Út Nhị Mino,43,,,,2026-08-14T03:58:14.699229+00:00
145,2026-01-08,Spotify,Spotify Playlist | Fresh Find Vietnam,Hoàng Hôn Có Em,Vết Xước,66,,,,2026-08-14T03:58:14.699229+00:00
144,2026-01-08,Spotify,Spotify Playlist | Fresh Find Vietnam,Nỗi Nhớ,VINHTRAN,30,,,,2026-08-14T03:58:14.699229+00:00
142,2026-01-08,Spotify,Spotify Playlist | Fresh Find Vietnam,Thương Người Có Người Thương,Po Bae,11,,,,2026-08-14T03:58:14.699229+00:00
143,2026-01-08,Spotify,Spotify Playlist | Fresh Find Vietnam,Ông Già Tuyết,Jackie Njine,24,,,,2026-08-14T03:58:14.699229+00:00
146,2026-01-08,Spotify,Spotify Playlist | Fresh Find Vietnam,Đậu Thần,Dreamwork,70,,,,2026-08-14T03:58:14.699229+00:00
152,2026-01-08,Tiktok,TIKTOK HOT,Thiệp Hồng Sai Tên (Remix) [Version 2],"Nguyễn Thành Đạt, BMT Music",12,,,,2026-08-14T03:58:14.699229+00:00
153,2026-01-08,Tiktok,TIKTOK HOT,Đi Về Quê (Remix),Út Nhị Mino,15,,,,2026-08-14T03:58:14.699229+00:00
154,2026-01-08,Tiktok,TIKTOK HOT,Ảnh Lấy Dợ Gòi,Tracy Thảo My,21,,,,2026-08-14T03:58:14.699229+00:00
151,2026-01-08,Tiktok,TIKTOK POPULAR,Phai Sắc Tím (Remix Vinahouse),H2O Vinahouse,50,,,,2026-08-14T03:58:14.699229+00:00
138,2026-01-08,Spotify,WEEKLY TOP ALBUM Tuần,Chỉ Có Thể Là Anh,TRANG,190,,,,2026-08-14T03:58:14.699229+00:00
137,2026-01-08,Spotify,WEEKLY TOP ALBUM Tuần,Để Leo Một Ngọn Núi,Tùng,70,,,,2026-08-14T03:58:14.699229+00:00
118,2026-01-08,Zing,ZingCharts,50 Năm Về Sau,"F47, Mechill, Đặng Thanh Tuyền",35,,,,2026-08-14T03:58:14.699229+00:00
115,2026-01-08,Zing,ZingCharts,Anh Thua Anh Ta,Gia Huy Singer,10,,,,2026-08-14T03:58:14.699229+00:00
123,2026-01-08,Zing,ZingCharts,Anh Thua Người Ta Nhiều Lắm,"NB3 Hoài Bảo, CT",74,,,,2026-08-14T03:58:14.699229+00:00
122,2026-01-08,Zing,ZingCharts,Cưới Chính,"Nal, CT",73,,,,2026-08-14T03:58:14.699229+00:00
124,2026-01-08,Zing,ZingCharts,Em Nhắc Anh,"Nana Liu, HTM",93,,,,2026-08-14T03:58:14.699229+00:00
125,2026-01-08,Zing,ZingCharts,Hai Người Hai Hướng,Pinky Vanh,98,,,,2026-08-14T03:58:14.699229+00:00
121,2026-01-08,Zing,ZingCharts,Muốn Cua Anh Làm Bồ,"Dương Ái Vy, HTM",45,,,,2026-08-14T03:58:14.699229+00:00
116,2026-01-08,Zing,ZingCharts,Nỗi Đau Giữa Hoà Bình,"Hoà Minzy, Nguyễn Văn Chung",27,,,,2026-08-14T03:58:14.699229+00:00
120,2026-01-08,Zing,ZingCharts,"Sợi Chỉ Hồng (Original Soundtrack From ""Cưới Vợ Cho Cha"")","Hana Cẩm Tiên, DanhKa",38,,,,2026-08-14T03:58:14.699229+00:00
114,2026-01-08,Zing,ZingCharts,Thiệp Hồng Sai Tên,Nguyễn Thành Đạt,1,,,,2026-08-14T03:58:14.699229+00:00
117,2026-01-08,Zing,ZingCharts,Thiệp Hồng Sai Tên (Remix) [Version 2],"Nguyễn Thành Đạt, BMT Music",32,,,,2026-08-14T03:58:14.699229+00:00
119,2026-01-08,Zing,ZingCharts,Ảnh Lấy Dợ Gòi,Tracy Thảo My,36,,,,2026-08-14T03:58:14.699229+00:00
194,2026-01-09,Apple,Apple Playlist | Vietnam Ơi,CHUỒN CHUỒN (bay thấp),Tùng,56,,,,2026-08-14T03:58:14.699229+00:00
195,2026-01-09,Apple,Apple Playlist | Vietnam Ơi,Nụ cười của một người lạ,TRANG,106,,,,2026-08-14T03:58:14.699229+00:00
197,2026-01-09,Apple,Apple Playlist | Vietnam Ơi,Đậu Thần,Dreamwork,157,,,,2026-08-14T03:58:14.699229+00:00
196,2026-01-09,Apple,Apple Playlist | Vietnam Ơi,ĐẶT TRÁI TIM LÊN BÀN,Tùng,148,,,,2026-08-14T03:58:14.699229+00:00
180,2026-01-09,Zing,BXH NHẠC MỚI,50 Năm Về Sau,"F47, Mechill, Đặng Thanh Tuyền",77,,,,2026-08-14T03:58:14.699229+00:00
182,2026-01-09,Zing,BXH NHẠC MỚI,Anh Này Là Của Tui,"Pinky Vanh, Hoa Vũ",93,,,,2026-08-14T03:58:14.699229+00:00
181,2026-01-09,Zing,BXH NHẠC MỚI,Cơn Mưa Mùa Đông,"Đan Trường, Cẩm Ly",88,,,,2026-08-14T03:58:14.699229+00:00
170,2026-01-09,Zing,BXH NHẠC MỚI,Hoa Màu Dĩ Vãng,"H.O.A, Hạo Thiên (Kim Thiên)",15,,,,2026-08-14T03:58:14.699229+00:00
171,2026-01-09,Zing,BXH NHẠC MỚI,Không Còn Chừng Mực,Hạo Thiên (Kim Thiên),22,,,,2026-08-14T03:58:14.699229+00:00
177,2026-01-09,Zing,BXH NHẠC MỚI,Mưa Chưa Thấm Em Đã Lầm,"H.O.A, Hạo Thiên (Kim Thiên)",61,,,,2026-08-14T03:58:14.699229+00:00
179,2026-01-09,Zing,BXH NHẠC MỚI,Thiên Sơn Vạn Thuỷ (Remix),DIMZ,71,,,,2026-08-14T03:58:14.699229+00:00
176,2026-01-09,Zing,BXH NHẠC MỚI,Tinh Hoa Tết Việt,Đan Trường,45,,,,2026-08-14T03:58:14.699229+00:00
172,2026-01-09,Zing,BXH NHẠC MỚI,Vết Đau Chẳng Lành,Hoàng Oanh,23,,,,2026-08-14T03:58:14.699229+00:00
173,2026-01-09,Zing,BXH NHẠC MỚI,Vết Đau Chẳng Lành (BMT Remix),Hoàng Oanh,32,,,,2026-08-14T03:58:14.699229+00:00
178,2026-01-09,Zing,BXH NHẠC MỚI,Xuân Này Sẽ Thành Đôi,Hoàng Ngọc Sơn,68,,,,2026-08-14T03:58:14.699229+00:00
